tid,createTime,speed,lng,lat
0,2018-08-07 11:37:37,0.91,128.056914,42.039583
0,2018-08-07 11:38:13,0.66,128.056826,42.039517
0,2018-08-07 11:39:00,0.77,128.056717,42.039472
0,2018-08-07 11:39:53,0.52,128.056652,42.039392
0,2018-08-07 11:40:08,0.5,128.056562,42.039325
1,2024-05-26 08:56:30,0.35,103.4482239,29.5694411
1,2024-05-26 08:56:40,1.31,103.4481049,29.569456
1,2024-05-26 08:56:48,1.26,103.447977,29.5694404
1,2024-05-26 08:56:56,1.26,103.4478542,29.5694293
1,2024-05-26 08:57:04,1.19,103.4477443,29.569407
2,2023-04-19 08:04:53,0.0,118.1578006,30.1422005
2,2023-04-19 08:04:54,0.0,118.1578139,30.1421974
2,2023-04-19 08:05:24,0.0,118.1578139,30.1421974
2,2023-04-19 08:05:28,0.0,118.1577349,30.1422326
2,2023-04-19 08:05:42,0.0,118.1577349,30.1422326
3,2024-04-08 13:19:49,0.55,103.4411819,29.5691696
3,2024-04-08 13:20:01,0.75,103.4411028,29.5691839
3,2024-04-08 13:20:17,0.43,103.4410194,29.5692286
3,2024-04-08 13:20:35,0.21,103.4409203,29.5692606
3,2024-04-08 13:20:57,1.06,103.4408914,29.569194
4,2023-05-18 13:02:26,0.19592972,128.1091278,42.4221104
4,2023-05-18 13:02:36,0.9825874,128.1092293,42.4221332
4,2023-05-18 13:03:18,9.429838e-06,128.1093757,42.42218
4,2023-05-18 13:03:28,9.429838e-06,128.1093757,42.42218
4,2023-05-18 13:03:36,9.429838e-06,128.1093757,42.42218
